SDR	6.10.0

-----Logger Information-----
Model #	4280
Serial #	10595
Hardware Rev.	023-022-053

-----Site Information-----
Site #	8014
Site Desc	Hanyuan
Project Code	New
Project Desc	New Project
Site Location	
Site Elevation	1876
Latitude	N 029 36.282'
Longitude	E 102 36.835'
Time offset (hrs)	8

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 AnemC180m
Details	
Serial Number	SN:82907
Height	80   m
Scale Factor	.768
Offset	.34
Units	m/s

Channel #	2
Type	1
Description	NRG #40 AnemC280m
Details	
Serial Number	SN:2906
Height	80   m
Scale Factor	.766
Offset	.37
Units	m/s

Channel #	3
Type	1
Description	NRG #40 AnemC370m
Details	
Serial Number	SN:2905
Height	70   m
Scale Factor	.765
Offset	.36
Units	m/s

Channel #	4
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind VA180m
Details	
Serial Number	SN:
Height	80   m
Scale Factor	.351
Offset	0
Units	deg

Channel #	8
Type	3
Description	#200P Wind VA210m
Details	
Serial Number	SN:
Height	10   m
Scale Factor	.351
Offset	0
Units	deg

Channel #	9
Type	4
Description	Voltmeter
Details	
Serial Number	SN:1897
Height	8    m
Scale Factor	.021
Offset	0
Units	Volts

Channel #	10
Type	4
Description	RH-5 Humidity %RH
Details	
Serial Number	SN:
Height	8    m
Scale Factor	.098
Offset	0
Units	%RH

Channel #	11
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	8    m
Scale Factor	.136
Offset	-86.383
Units	C

Channel #	12
Type	4
Description	BP-20 Barom.kPa
Details	
Serial Number	SN:5600
Height	8    m
Scale Factor	.04255
Offset	64.832
Units	kPa

Channel #	13
Type	1
Description	NRG #40 AnemC450m
Details	
Serial Number	SN:2908
Height	50   m
Scale Factor	.766
Offset	.35
Units	m/s

Channel #	14
Type	1
Description	NRG #40 AnemC530m
Details	
Serial Number	SN:2904
Height	30   m
Scale Factor	.764
Offset	.35
Units	m/s

Channel #	15
Type	1
Description	NRG #40 AnemC610m
Details	
Serial Number	SN:2909
Height	10   m
Scale Factor	.768
Offset	.38
Units	m/s

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min	CH13Avg	CH13SD	CH13Max	CH13Min	CH14Avg	CH14SD	CH14Max	CH14Min	CH15Avg	CH15SD	CH15Max	CH15Min
2011/11/6 Sunday 00:00:00	7.7	0.8	10.3	3.0	7.6	0.8	9.9	3.1	7.5	1.0	10.7	2.7													9	10	0	0	24	18	0	0	13.2	0.0	13.2	13.2	85.4	0.4	86.9	84.2	8.6	0.1	8.9	8.2	80.7	0.0	80.8	80.7	6.8	1.1	10.3	3.0	6.1	1.1	9.1	2.3	5.4	1.0	8.8	2.3
2011/11/6 Sunday 01:00:00	7.9	0.9	9.9	3.8	7.8	0.8	9.9	3.8	7.8	0.9	9.9	4.2													7	12	0	0	18	16	0	0	13.2	0.0	13.2	13.2	86.2	0.4	87.9	83.9	8.2	0.1	8.4	7.9	80.7	0.0	80.7	80.7	7.2	1.1	10.7	3.4	6.6	1.1	10.7	2.6	5.8	1.1	9.2	2.7
2011/11/6 Sunday 02:00:00	8.8	0.9	11.5	4.9	8.7	0.9	11.5	4.6	8.6	1.0	11.8	4.6													8	10	0	0	22	17	0	0	13.2	0.0	13.2	13.2	87.3	0.4	89.6	83.9	8.0	0.1	8.4	7.7	80.7	0.0	80.7	80.6	7.8	1.2	11.5	3.8	7.1	1.2	10.7	3.4	6.2	1.2	10.4	2.3
2011/11/6 Sunday 03:00:00	7.7	1.1	11.1	2.6	7.7	1.0	11.1	3.1	7.6	1.1	11.1	3.0													9	12	0	0	25	17	0	0	13.2	0.0	13.2	13.2	87.9	0.3	89.1	86.7	7.9	0.1	8.2	7.7	80.6	0.0	80.7	80.6	7.1	1.2	10.3	3.0	6.3	1.2	10.3	2.3	5.7	1.2	9.2	2.3
2011/11/6 Sunday 04:00:00	7.8	1.0	10.3	4.2	7.7	1.0	10.3	3.8	7.7	1.1	10.3	3.4													6	12	0	0	20	16	0	0	13.2	0.0	13.2	13.1	89.8	0.4	92.0	87.6	7.6	0.1	7.9	7.4	80.6	0.0	80.7	80.6	7.1	1.1	10.3	3.0	6.5	1.1	9.9	2.6	5.8	1.1	9.6	3.1
2011/11/6 Sunday 05:00:00	7.2	0.9	10.7	2.3	7.1	0.8	10.3	2.7	7.0	0.9	10.3	2.3													7	13	0	0	16	18	0	0	13.2	0.0	13.2	13.2	90.2	0.4	91.5	87.9	7.6	0.1	7.9	7.4	80.6	0.0	80.7	80.5	6.5	1.1	9.5	1.9	5.9	1.2	9.5	1.9	5.3	1.1	8.4	1.9
